Ruc,Empresa,Establecimiento,Giro,Resolución,Código Sala,Vigencia,Dirección,Distrito,Provincia,Departamento
20611857803,AMARONE S.A.C.,RICH GAME,REST. 5TT,2602 - 2025,132632002,15/04/2030,Av. TOMAS VALLE No. 3435,CALLAO,PROV. CONST. DEL CALLAO,CALLAO
20611857803,AMARONE S.A.C.,EL GENIO AZUL,REST. 5TT,3300 - 2025,132632004,13/05/2030,Av. LIMA SUR No. 225-A,LURIGANCHO,LIMA,LIMA
20611137355,CORPORACION EMPRESARIAL HOLDING S.A.C.,MOULIN ROUGE,REST. 5TT,635 - 2025,132633008,31/01/2030,Av. JAVIER PRADO ESTE No. 5235,LA MOLINA,LIMA,LIMA
20611137355,CORPORACION EMPRESARIAL HOLDING S.A.C.,MOULIN ROUGE,REST. 5TT,638 - 2025,132633011,31/01/2030,Av. VICTOR RAUL HAYA DE LA TORRE 2DO PISO No. 464,CHIMBOTE,SANTA,ÁNCASH
20611137355,CORPORACION EMPRESARIAL HOLDING S.A.C.,MAMBOS,REST. 5TT,647 - 2025,132633019,31/01/2030,Av. PROLONGACION BENAVIDES No. 5205,SANTIAGO DE SURCO,LIMA,LIMA
20611413271,PUCALLPA JUNGLA CLUB CASINO S.A.C.,TROPICANA,HOTEL ***,3355 - 2025,132635001,15/05/2030,Jr. LIBERTAD No. 781,CALLERIA,CORONEL PORTILLO,UCAYALI
20612858790,PREMIUM CAPITALS S.A.C.,SALON DE JUEGOS LUXOR,HOTEL ***,4295 - 2025,132637001,17/06/2030,PRÓSPERO No. 644,IQUITOS,MAYNAS,LORETO
20305556786,GAMING AND SERVICES S.A.C.,SOL Y LUNA,,1324,140032015,27/08/2025,Jr. DEUSTUA No. 323,PUNO,PUNO,PUNO
20305556786,GAMING AND SERVICES S.A.C.,SALA CRAZY LIBERTY,,003407 - 2017,140032025,4/11/2026,Av. AVIACION No. 3424 - 3430,SAN BORJA,LIMA,LIMA
20301947641,YONS BROTHER SRLTDA.,LUCKY CHERRY,,004375 - 2019,140102001,11/03/2028,Jr. UCAYALI No. 741 - 747,LIMA,LIMA,LIMA
20559882420,RIMELD S.A.C.,SALA DE JUEGOS ESPAÑA,,2145 - 2024,140123001,29/04/2028,Av. ESPAÑA No. 2245,TRUJILLO,TRUJILLO,LA LIBERTAD
20559882420,RIMELD S.A.C.,TGM 777,,1259 - 2024,140123002,13/03/2028,Av. CESAR VALLEJO No. 219,TRUJILLO,TRUJILLO,LA LIBERTAD
20333610842,JUEGOS Y ENTRETENIMIENTOS S.A.,CIRCUS CIRCUS,,782,140125002,8/04/2026,Av. NICOLAS AYLLON (EX CARRETERA CENTRAL) 1° PISO No. 5101 - 5103,ATE,LIMA,LIMA
20377965818,INVERSIONES HONG KONG S.A.C.,OCEAN,,001087,140167002,29/04/2026,Av. MANCO CAPAC No. 107 - 107 - 109 - 109,LA VICTORIA,LIMA,LIMA
20473452198,ASPEN INTERNATIONAL S.A.C.,HARUMI VI,,1628,140383006,29/06/2026,Av. GERARDO UNGER No. 1685-A,SAN MARTÍN DE PORRES,LIMA,LIMA
20508585293,INVERSIONES RECREATIVOS GUERRERO S.A.C.,LOS FARAONES,,000674,140526005,23/03/2026,Av. FITZCARRALD No. 651,TAMBOPATA,TAMBOPATA,MADRE DE DIOS
20509252000,MILLENNIUM GAME S.A.C.,SALA DE JUEGOS WINGS,,836 - 2025,140547004,8/04/2029,Av. LAS VIOLETAS No. 796,INDEPENDENCIA,LIMA,LIMA
20463145734,MESAC SLOT S.A.C.,CONTTENTO RISSO,,000310-2024,140588009,31/01/2029,Calle RISSO No. 123 - 127,LINCE,LIMA,LIMA
20463145734,MESAC SLOT S.A.C.,CONTTENTO,,004993-2023,140588010,17/11/2028,Av. 28 DE JULIO No. 817,HUANUCO,HUÁNUCO,HUÁNUCO
20513831847,INVERSIONES Y RECREACIONES REYMAR S.A.C.,BELAUNDE,,1643,140590002,2/05/2028,Av. VICTOR ANDRES BELAUNDE OESTE No. 151 - 153,COMAS,LIMA,LIMA
20506755051,LIGHTNING GAMING S.A.C.,EL DORADO VILLA,,61 - 2025,140595002,7/01/2030,"Otro SECTOR 02 GRUPO 13, LT. 20 Mz. F - F",VILLA EL SALVADOR,LIMA,LIMA
20506755051,LIGHTNING GAMING S.A.C.,HAPPY DAYS,,5123 - 2024,140595003,3/09/2029,Av. NICOLAS DE PIEROLA No. 489 - 489,BARRANCO,LIMA,LIMA
20531521987,NEGOCIACIONES E INVERSIONES DORAL S.A.C.,VILLA FORTUNA,,3950 - 2025,140615008,5/06/2029,Av. VENEZUELA No. 1062 - 1064,BREÑA,LIMA,LIMA
20565457358,KINCORP INVESTMENTS S.A.C.,GRAND GOLD - PARURO,,6139 - 2024,140662001,15/10/2028,Jr. PARURO No. 766 - 768,LIMA,LIMA,LIMA
20486353342,JUEGO Y AVENTURA REAL S.A.C.,Palace,,116,140741002,17/01/2028,Av. AVIACION No. 4543 - 4545,SANTIAGO DE SURCO,LIMA,LIMA
20514397598,INVERSIONES JOSWEND S.A.C.,MR. CASH,,1496 - 2024,140765001,27/03/2028,Jr. PROVEEDORES UNIDOS No. 173,BREÑA,LIMA,LIMA
20495742238,INVERSIONES EL SOL S.A.C.,TRAGAMONEDAS ATLANTIS,,000066-2024,140774004,11/01/2029,Plaza PLAZA DE ARMAS No. 192,GUADALUPE,PACASMAYO,LA LIBERTAD
20495742238,INVERSIONES EL SOL S.A.C.,TRAGAMONEDAS ATLANTIS,,004520,140774005,18/10/2028,Calle SAN PEDRO No. 130,CHEPEN,CHEPÉN,LA LIBERTAD
20481166391,EL HALCON INVESTMENT S.A.C.,FLAMENCO DE ORO I,,002155-2024,140808002,29/04/2029,Av. FELIPE ARANCIBIA No. 719 - 721 - 725,RÍMAC,LIMA,LIMA
20513433795,INVERSIONES STARGAMES S.A.C.,QATAR,,005714,140836004,30/12/2028,Av. SAN JUAN No. 1018,SAN JUAN DE MIRAFLORES,LIMA,LIMA
20493485840,INVERSIONES ZULLYMAT S.A.C.,BELEN,,1295,140865002,11/09/2027,Av. RAMIREZ HURTADO No. 1161,BELÉN,MAYNAS,LORETO
20495887805,CORPORACION PAKATNAMU S.A.C.,CASINO KUNTUR WASI,,000900,140866002,19/04/2026,Jr. DEL COMERCIO No. 648,CAJAMARCA,CAJAMARCA,CAJAMARCA
20513636041,INVERSIONES MILLION´S S.A.C.,COSTA ESMERALDA,,1135,140867002,31/07/2025,Av. VENEZUELA No. 874 - 876 - 882 - 884 - 886,BREÑA,LIMA,LIMA
20513307811,RECREATIVOS POLA S.A.C.,EL REY 777,,002498-2023,140874003,6/09/2027,Av. 1 DE MAYO No. 3129,EL AGUSTINO,LIMA,LIMA
20515375300,INVERSIONES BENCRIS S.A.C.,RICHMAN GAMES 777,,001234,140931002,8/11/2026,Av. 1 DE MAYO No. 736,CARMEN DE LA LEGUA REYNOSO,PROV. CONST. DEL CALLAO,CALLAO
20515452908,INVERSIONES UNION LOO S.A.C.,MYSTIC RIVER,,4991 - 2024,140945002,29/08/2028,Jr. PEDRO CANGA No. 407,MOYOBAMBA,MOYOBAMBA,SAN MARTÍN
20481204152,JENNA INVESTMENT S.A.C.,IMPERIAL ROYAL III,,000409,141001001,2/02/2029,Jr. PROGRESO No. 290,CHANCHAMAYO,CHANCHAMAYO,JUNÍN
20481204152,JENNA INVESTMENT S.A.C.,IMPERIAL ROYAL I,,000179,141001002,17/01/2029,Jr. TARMA No. 456,CHANCHAMAYO,CHANCHAMAYO,JUNÍN
20557290932,VIVA VENTURES S.A.,MAMBO,,5306,141090001,6/12/2027,Av. GRAN CHIMU No. 658,SAN JUAN DE LURIGANCHO,LIMA,LIMA
20518991648,TERRALEVI S.A.C.,STOP,,002072,141133001,25/10/2026,Plaza BOLOGNESI No. 548 - 552,BREÑA,LIMA,LIMA
20519358451,GAME GROUP S.A.C.,WINGS,,003778-2024,141135001,9/07/2028,Calle DERECHA No. 572,HUARAL,HUARAL,LIMA
20491975513,ISA PERU GROUP S.A.C.,QUEEN''S TRAGAMONEDAS,,846 - 2025,141145004,11/02/2030,Av. LOS PROCERES No. 7876 - 7878,LOS OLIVOS,LIMA,LIMA
20493085663,PLANET GAME S.A.C.,WINGS,,001297,141150001,18/05/2027,Av. TUPAC AMARU No. 5018,COMAS,LIMA,LIMA
20493085663,PLANET GAME S.A.C.,REYNA,,003266,141150002,25/10/2027,Av. PERU No. 1649,SAN MARTÍN DE PORRES,LIMA,LIMA
20493085663,PLANET GAME S.A.C.,WINGS,,004414,141150004,6/10/2028,Av. ELMER FAUCETT No. 461,SAN MIGUEL,LIMA,LIMA
20492144305,VISION GAMES CORPORATION S.A.C.,PRO,,4021,141151001,13/09/2027,Av. LFREDO MENDIOLA No. 7895 y Av. PROCERES No. 7894,LOS OLIVOS,LIMA,LIMA
20492144305,VISION GAMES CORPORATION S.A.C.,MEGA GAMING,,005047,141151002,23/11/2027,Av. ALFREDO MENDIOLA No. 3503 - 3505 - 3507 y Jr. SALAZAR No. 130,LOS OLIVOS,LIMA,LIMA
20492540081,R & G GAMING S.A.C.,LAS VEGAS,,5423,141169001,14/12/2027,Jr. LIMA No. 583,TARMA,TARMA,JUNÍN
20492540081,R & G GAMING S.A.C.,LAS VEGAS,,159 - 2024,141169002,16/01/2028,Jr. SAN CRISTOBAL No. 304 - 305,CHAUPIMARCA,PASCO,PASCO
20492540081,R & G GAMING S.A.C.,TEXAS,,965,141169005,21/04/2026,Av. MICAELA BASTIDAS No. 382,PICHANAQUI,CHANCHAMAYO,JUNÍN
20521547589,RECREATIVOS VENECIA,LOTTO,,920,141217001,17/03/2026,"Otro ASOCIACIÓN EL PORVENIR, LT. 3 Mz. D-3",ATE,LIMA,LIMA
20521547589,RECREATIVOS VENECIA,JACKPOT CITY,,2807,141217002,3/02/2027,Av. LOS RUISEÑORES No. 294,SANTA ANITA,LIMA,LIMA
